"totalCount","data__classification_fixed_id","data__base_pay_rate_id","data__base_rate_type","data__base_rate","data__calculated_pay_rate_id","data__calculated_rate_type","data__calculated_rate","data__parent_classification_name","data__classification","data__classification_level","data__employee_rate_type_code","data__operative_from","data__operative_to","data__version_number","data__published_year","data__last_modified_datetime"
"380","88027","null","null","null","null","null","null","null","Retail Employee Level 1","null","null","2025-07-01","null","5","2025","2025-06-03T01:19:21+00:00"
"","88129","null","null","null","null","null","null","null","Has not completed year 12","null","null","2025-07-01","null","5","2025","2025-06-03T01:19:19+00:00"
"","88154","null","null","null","null","null","null","null","Completed year 12","null","null","2025-07-01","null","5","2025","2025-06-03T01:19:21+00:00"
"","88035","null","null","null","null","null","null","null","Retail Employee Level 3","null","JN","2025-07-01","null","5","2025","2025-06-03T01:19:21+00:00"
"","88096","null","null","null","null","null","null","null","Retail Employee Level 2","null","JN","2025-07-01","null","5","2025","2025-06-03T01:19:21+00:00"
"","88159","BR100043","Weekly","854.72","CR30173","Hourly","22.49","null","1st year","1","AA","2025-07-01","null","6","2025","2025-06-03T01:19:17+00:00"
"","112","BR89790","Weekly","1008.9","CR25659","Hourly","26.55","null","Retail Employee Level 1","1","AD","2025-07-01","null","5","2025","2025-06-03T01:19:11+00:00"
"","88155","BR100039","Weekly","587.62","CR30181","Hourly","15.46","Completed year 12","1st year","1","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88130","BR100015","Weekly","534.2","CR30177","Hourly","14.06","Has not completed year 12","1st year","1","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88124","BR100011","Weekly","534.2","CR30169","Hourly","14.06","null","1st year","1","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88033","BR99919","Weekly","908.01","null","null","null","Retail Employee Level 1","20 years of age and employed by the employer for 6 months or less","1","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88029","BR99915","Weekly","504.45","null","null","null","Retail Employee Level 1","16 years of age","1","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88034","BR99920","Weekly","1008.9","null","null","null","Retail Employee Level 1","20 years of age and employed by the employer for more than 6 months","1","JN","2025-07-01","null","8","2025","2025-06-03T01:19:18+00:00"
"","88030","BR99916","Weekly","605.34","null","null","null","Retail Employee Level 1","17 years of age","1","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88028","BR99914","Weekly","454.01","null","null","null","Retail Employee Level 1","Under 16 years of age","1","JN","2025-07-01","null","7","2025","2025-06-03T01:19:18+00:00"
"","88032","BR99918","Weekly","807.12","null","null","null","Retail Employee Level 1","19 years of age","1","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88031","BR99917","Weekly","706.23","null","null","null","Retail Employee Level 1","18 years of age","1","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88160","BR100044","Weekly","1008.9","CR30174","Hourly","26.55","null","2nd year","2","AA","2025-07-01","null","6","2025","2025-06-03T01:19:17+00:00"
"","113","BR89791","Weekly","1032","CR25660","Hourly","27.16","null","Retail Employee Level 2","2","AD","2025-07-01","null","5","2025","2025-06-03T01:19:11+00:00"
"","88156","BR100040","Weekly","694.46","CR30182","Hourly","18.28","Completed year 12","2nd year","2","AP","2025-07-01","null","5","2025","2025-06-03T01:19:18+00:00"
"","88125","BR100012","Weekly","641.04","CR30170","Hourly","16.87","null","2nd year","2","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88151","BR100035","Weekly","641.04","CR30178","Hourly","16.87","Has not completed year 12","2nd year","2","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88044","BR99929","Weekly","516","null","null","null","Retail Employee Level 2","16 years of age","2","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88072","BR99956","Weekly","1032","null","null","null","Retail Employee Level 2","20 years of age and employed by the employer for more than 6 months","2","JN","2025-07-01","null","8","2025","2025-06-03T01:19:18+00:00"
"","90262","BR102008","Weekly","464.4","null","null","null","Retail Employee Level 2","Under 16 years of age","2","JN","2025-07-01","null","7","2025","2025-06-03T01:19:18+00:00"
"","88070","BR99954","Weekly","825.6","null","null","null","Retail Employee Level 2","19 years of age","2","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88046","BR99931","Weekly","722.4","null","null","null","Retail Employee Level 2","18 years of age","2","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88071","BR99955","Weekly","928.8","null","null","null","Retail Employee Level 2","20 years of age and employed by the employer for 6 months or less","2","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88045","BR99930","Weekly","619.2","null","null","null","Retail Employee Level 2","17 years of age","2","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88161","BR100045","Weekly","1008.9","CR30175","Hourly","26.55","null","3rd year","3","AA","2025-07-01","null","7","2025","2025-06-03T01:19:17+00:00"
"","114","BR89792","Weekly","1048","CR25661","Hourly","27.58","null","Retail Employee Level 3","3","AD","2025-07-01","null","5","2025","2025-06-03T01:19:11+00:00"
"","88123","BR100010","Weekly","854.72","CR30171","Hourly","22.49","null","3rd year","3","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88157","BR100041","Weekly","854.72","CR30183","Hourly","22.49","Completed year 12","3rd year","3","AP","2025-07-01","null","5","2025","2025-06-03T01:19:18+00:00"
"","88152","BR100036","Weekly","854.72","CR30179","Hourly","22.49","Has not completed year 12","3rd year","3","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88074","BR99959","Weekly","524","null","null","null","Retail Employee Level 3","16 years of age","3","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88078","BR99963","Weekly","943.2","null","null","null","Retail Employee Level 3","20 years of age and employed by the employer for 6 months or less","3","JN","2025-07-01","null","6","2025","2025-06-03T01:19:19+00:00"
"","88079","BR99964","Weekly","1048","null","null","null","Retail Employee Level 3","20 years of age and employed by the employer for more than 6 months","3","JN","2025-07-01","null","8","2025","2025-06-03T01:19:19+00:00"
"","88073","BR99957","Weekly","471.6","null","null","null","Retail Employee Level 3","Under 16 years of age","3","JN","2025-07-01","null","7","2025","2025-06-03T01:19:18+00:00"
"","88077","BR99962","Weekly","838.4","null","null","null","Retail Employee Level 3","19 years of age","3","JN","2025-07-01","null","6","2025","2025-06-03T01:19:19+00:00"
"","88076","BR99961","Weekly","733.6","null","null","null","Retail Employee Level 3","18 years of age","3","JN","2025-07-01","null","6","2025","2025-06-03T01:19:19+00:00"
"","88075","BR99960","Weekly","628.8","null","null","null","Retail Employee Level 3","17 years of age","3","JN","2025-07-01","null","6","2025","2025-06-03T01:19:18+00:00"
"","88162","BR100046","Weekly","1008.9","CR30176","Hourly","26.55","null","4th year (4 year apprenticeship only)","4","AA","2025-07-01","null","7","2025","2025-06-03T01:19:17+00:00"
"","115","BR89793","Weekly","1068.4","CR25662","Hourly","28.12","null","Retail Employee Level 4","4","AD","2025-07-01","null","5","2025","2025-06-03T01:19:11+00:00"
"","88158","BR100042","Weekly","961.56","CR30184","Hourly","25.3","Completed year 12","4th year (4 year apprenticeship only)","4","AP","2025-07-01","null","5","2025","2025-06-03T01:19:18+00:00"
"","88126","BR100013","Weekly","961.56","CR30172","Hourly","25.3","null","4th year (4 year apprenticeship only)","4","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","88153","BR100037","Weekly","961.56","CR30180","Hourly","25.3","Has not completed year 12","4th year (4 year apprenticeship only)","4","AP","2025-07-01","null","5","2025","2025-06-03T01:19:17+00:00"
"","116","BR89794","Weekly","1112.3","CR25663","Hourly","29.27","null","Retail Employee Level 5","5","AD","2025-07-01","null","5","2025","2025-06-03T01:19:11+00:00"
"","117","BR89795","Weekly","1128.5","CR25664","Hourly","29.7","null","Retail Employee Level 6","6","AD","2025-07-01","null","5","2025","2025-06-03T01:19:11+00:00"
"","118","BR89796","Weekly","1185.1","CR25665","Hourly","31.19","null","Retail Employee Level 7","7","AD","2025-07-01","null","5","2025","2025-06-03T01:19:12+00:00"
"","119","BR89797","Weekly","1233.2","CR25666","Hourly","32.45","null","Retail Employee Level 8","8","AD","2025-07-01","null","5","2025","2025-06-03T01:19:12+00:00"
"","88027","null","null","null","null","null","null","null","Retail Employee Level 1","null","null","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88129","null","null","null","null","null","null","null","Has not completed year 12","null","null","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88154","null","null","null","null","null","null","null","Completed year 12","null","null","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:25+00:00"
"","88035","null","null","null","null","null","null","null","Retail Employee Level 3","null","JN","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88096","null","null","null","null","null","null","null","Retail Employee Level 2","null","JN","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88159","BR100043","Weekly","825.84","CR30173","Hourly","21.73","null","1st year","1","AA","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:25+00:00"
"","112","BR89790","Weekly","974.8","CR25659","Hourly","25.65","null","Retail Employee Level 1","1","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:25+00:00"
"","88124","BR100011","Weekly","516.15","CR30169","Hourly","13.58","null","1st year","1","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88130","BR100015","Weekly","516.15","CR30177","Hourly","13.58","Has not completed year 12","1st year","1","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88155","BR100039","Weekly","567.77","CR30181","Hourly","14.94","Completed year 12","1st year","1","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88029","BR99915","Weekly","487.4","null","null","null","Retail Employee Level 1","16 years of age","1","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:27+00:00"
"","88028","BR99914","Weekly","438.66","null","null","null","Retail Employee Level 1","Under 16 years of age","1","JN","2024-07-01","2025-06-30","6","2024","2025-06-25T23:36:27+00:00"
"","88033","BR99919","Weekly","877.32","null","null","null","Retail Employee Level 1","20 years of age and employed by the employer for 6 months or less","1","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:27+00:00"
"","88030","BR99916","Weekly","584.88","null","null","null","Retail Employee Level 1","17 years of age","1","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:27+00:00"
"","88034","BR99920","Weekly","974.8","null","null","null","Retail Employee Level 1","20 years of age and employed by the employer for more than 6 months","1","JN","2024-07-01","2025-06-30","7","2024","2025-06-25T23:36:27+00:00"
"","88031","BR99917","Weekly","682.36","null","null","null","Retail Employee Level 1","18 years of age","1","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:27+00:00"
"","88032","BR99918","Weekly","779.84","null","null","null","Retail Employee Level 1","19 years of age","1","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:27+00:00"
"","88160","BR100044","Weekly","974.8","CR30174","Hourly","25.65","null","2nd year","2","AA","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:25+00:00"
"","113","BR89791","Weekly","997.1","CR25660","Hourly","26.24","null","Retail Employee Level 2","2","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88125","BR100012","Weekly","619.38","CR30170","Hourly","16.3","null","2nd year","2","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88151","BR100035","Weekly","619.38","CR30178","Hourly","16.3","Has not completed year 12","2nd year","2","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88156","BR100040","Weekly","671","CR30182","Hourly","17.66","Completed year 12","2nd year","2","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","90262","BR102008","Weekly","448.7","null","null","null","Retail Employee Level 2","Under 16 years of age","2","JN","2024-07-01","2025-06-30","6","2024","2025-06-25T23:36:27+00:00"
"","88070","BR99954","Weekly","797.68","null","null","null","Retail Employee Level 2","19 years of age","2","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88044","BR99929","Weekly","498.55","null","null","null","Retail Employee Level 2","16 years of age","2","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:27+00:00"
"","88045","BR99930","Weekly","598.26","null","null","null","Retail Employee Level 2","17 years of age","2","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88046","BR99931","Weekly","697.97","null","null","null","Retail Employee Level 2","18 years of age","2","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88071","BR99955","Weekly","897.39","null","null","null","Retail Employee Level 2","20 years of age and employed by the employer for 6 months or less","2","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88072","BR99956","Weekly","997.1","null","null","null","Retail Employee Level 2","20 years of age and employed by the employer for more than 6 months","2","JN","2024-07-01","2025-06-30","7","2024","2025-06-25T23:36:28+00:00"
"","88161","BR100045","Weekly","974.8","CR30175","Hourly","25.65","null","3rd year","3","AA","2024-07-01","2025-06-30","6","2024","2025-06-25T23:36:25+00:00"
"","114","BR89792","Weekly","1012.6","CR25661","Hourly","26.65","null","Retail Employee Level 3","3","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88123","BR100010","Weekly","825.84","CR30171","Hourly","21.73","null","3rd year","3","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88152","BR100036","Weekly","825.84","CR30179","Hourly","21.73","Has not completed year 12","3rd year","3","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88157","BR100041","Weekly","825.84","CR30183","Hourly","21.73","Completed year 12","3rd year","3","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88074","BR99959","Weekly","506.3","null","null","null","Retail Employee Level 3","16 years of age","3","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88073","BR99957","Weekly","455.67","null","null","null","Retail Employee Level 3","Under 16 years of age","3","JN","2024-07-01","2025-06-30","6","2024","2025-06-25T23:36:28+00:00"
"","88075","BR99960","Weekly","607.56","null","null","null","Retail Employee Level 3","17 years of age","3","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88076","BR99961","Weekly","708.82","null","null","null","Retail Employee Level 3","18 years of age","3","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88077","BR99962","Weekly","810.08","null","null","null","Retail Employee Level 3","19 years of age","3","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88078","BR99963","Weekly","911.34","null","null","null","Retail Employee Level 3","20 years of age and employed by the employer for 6 months or less","3","JN","2024-07-01","2025-06-30","5","2024","2025-06-25T23:36:28+00:00"
"","88079","BR99964","Weekly","1012.6","null","null","null","Retail Employee Level 3","20 years of age and employed by the employer for more than 6 months","3","JN","2024-07-01","2025-06-30","7","2024","2025-06-25T23:36:28+00:00"
"","88162","BR100046","Weekly","974.8","CR30176","Hourly","25.65","null","4th year (4 year apprenticeship only)","4","AA","2024-07-01","2025-06-30","6","2024","2025-06-25T23:36:25+00:00"
"","115","BR89793","Weekly","1032.3","CR25662","Hourly","27.17","null","Retail Employee Level 4","4","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88126","BR100013","Weekly","929.07","CR30172","Hourly","24.45","null","4th year (4 year apprenticeship only)","4","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88153","BR100037","Weekly","929.07","CR30180","Hourly","24.45","Has not completed year 12","4th year (4 year apprenticeship only)","4","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","88158","BR100042","Weekly","929.07","CR30184","Hourly","24.45","Completed year 12","4th year (4 year apprenticeship only)","4","AP","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:27+00:00"
"","116","BR89794","Weekly","1074.7","CR25663","Hourly","28.28","null","Retail Employee Level 5","5","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","117","BR89795","Weekly","1090.3","CR25664","Hourly","28.69","null","Retail Employee Level 6","6","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","118","BR89796","Weekly","1145","CR25665","Hourly","30.13","null","Retail Employee Level 7","7","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","119","BR89797","Weekly","1191.5","CR25666","Hourly","31.36","null","Retail Employee Level 8","8","AD","2024-07-01","2025-06-30","4","2024","2025-06-25T23:36:26+00:00"
"","88027","null","null","null","null","null","null","null","Retail Employee Level 1","null","null","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:38+00:00"
"","88154","null","null","null","null","null","null","null","Completed year 12","null","null","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:38+00:00"
"","88129","null","null","null","null","null","null","null","Has not completed year 12","null","null","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:40+00:00"
"","88035","null","null","null","null","null","null","null","Retail Employee Level 3","null","JN","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:38+00:00"
"","88096","null","null","null","null","null","null","null","Retail Employee Level 2","null","JN","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:40+00:00"
"","88159","BR100043","Weekly","796","CR30173","Hourly","20.95","null","1st year","1","AA","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:38+00:00"
"","112","BR89790","Weekly","939.6","CR25659","Hourly","24.73","null","Retail Employee Level 1","1","AD","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:28+00:00"
"","88130","BR100015","Weekly","497.5","CR30177","Hourly","13.09","Has not completed year 12","1st year","1","AP","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:40+00:00"
"","88124","BR100011","Weekly","497.5","CR30169","Hourly","13.09","null","1st year","1","AP","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:40+00:00"
"","88155","BR100039","Weekly","547.25","CR30181","Hourly","14.4","Completed year 12","1st year","1","AP","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:38+00:00"
"","88030","BR99916","Weekly","563.76","null","null","null","Retail Employee Level 1","17 years of age","1","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:38+00:00"
"","88031","BR99917","Weekly","657.72","null","null","null","Retail Employee Level 1","18 years of age","1","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:38+00:00"
"","88032","BR99918","Weekly","751.68","null","null","null","Retail Employee Level 1","19 years of age","1","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:38+00:00"
"","88033","BR99919","Weekly","845.64","null","null","null","Retail Employee Level 1","20 years of age and employed by the employer for 6 months or less","1","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:38+00:00"
"","88034","BR99920","Weekly","939.6","null","null","null","Retail Employee Level 1","20 years of age and employed by the employer for more than 6 months","1","JN","2023-07-01","2024-06-30","6","2023","2025-05-08T02:35:38+00:00"
"","88028","BR99914","Weekly","422.82","null","null","null","Retail Employee Level 1","Under 16 years of age","1","JN","2023-07-01","2024-06-30","5","2023","2025-05-08T02:35:38+00:00"
"","88029","BR99915","Weekly","469.8","null","null","null","Retail Employee Level 1","16 years of age","1","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:38+00:00"
"","88160","BR100044","Weekly","939.6","CR30174","Hourly","24.73","null","2nd year","2","AA","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:38+00:00"
"","113","BR89791","Weekly","961.1","CR25660","Hourly","25.29","null","Retail Employee Level 2","2","AD","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:28+00:00"
"","88125","BR100012","Weekly","597","CR30170","Hourly","15.71","null","2nd year","2","AP","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:40+00:00"
"","88156","BR100040","Weekly","646.75","CR30182","Hourly","17.02","Completed year 12","2nd year","2","AP","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:38+00:00"
"","88151","BR100035","Weekly","597","CR30178","Hourly","15.71","Has not completed year 12","2nd year","2","AP","2023-07-01","2024-06-30","3","2023","2025-05-08T02:35:41+00:00"
"","88071","BR99955","Weekly","864.99","null","null","null","Retail Employee Level 2","20 years of age and employed by the employer for 6 months or less","2","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:40+00:00"
"","88044","BR99929","Weekly","480.55","null","null","null","Retail Employee Level 2","16 years of age","2","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:39+00:00"
"","88046","BR99931","Weekly","672.77","null","null","null","Retail Employee Level 2","18 years of age","2","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:39+00:00"
"","90262","BR102008","Weekly","432.5","null","null","null","Retail Employee Level 2","Under 16 years of age","2","JN","2023-07-01","2024-06-30","5","2023","2025-05-08T02:35:45+00:00"
"","88070","BR99954","Weekly","768.88","null","null","null","Retail Employee Level 2","19 years of age","2","JN","2023-07-01","2024-06-30","4","2023","2025-05-08T02:35:40+00:00"
